Rank,Name,Year,Aired On,No of Episode,Network,Duration(minute),Content Rating,Cast,Genre,Rating
#61,Our Blues,2022," Saturday, Sunday",20,Netflix,128,15+ - Teens 15 or older,"Lee Byung Hun, Shin Min Ah, Cha Seung Won, Lee Jung Eun, Uhm Jung Hwa, Han Ji Min",Melodrama,8.7
#62,Moon Lovers,2016," Monday, Tuesday",20,SBS,129,15+ - Teens 15 or older,"Lee Joon Gi, IU, Kang Ha Neul, Hong Jong Hyun, Nam Joo Hyuk, Byun Baek Hyun",Melodrama,8.7
#63,Partners for Justice Season 2,2019," Monday, Tuesday",32,MBC,130,15+ - Teens 15 or older,"Jung Jae Young, Jung Yoo Mi, Oh Man Suk, Noh Min Woo, Kang Seung Hyun, Park Jun Gyu",Medical,8.7
#64,Our Beloved Summer,2021," Monday, Tuesday",16,Netflix,131,15+ - Teens 15 or older,"Choi  Woo Shik, Kim Da Mi, Kim Sung Cheol, Roh Jeong Eui, Ahn Dong Goo, Park Jin Joo",Youth,8.7
#65,Sweet Home,2020,Friday,10,Netflix,132,18+ Restricted (violence & profanity),"Song Kang, Lee Jin Wook, Lee Si Young, Lee Do Hyun, Kim Nam Hee, Go Min Si",Action,8.7
#66,"Kill Me, Heal Me",2015," Wednesday, Thursday",20,MBC,133,15+ - Teens 15 or older,"Ji Sung, Hwang Jung Eum, Park Seo Joon, Kim Yoo Ri, Oh Min Suk, Kim Young Ae",Psychological,8.7
#67,The King of Pigs,2022,Friday,12,TVING,134,18+ Restricted (violence & profanity),"Kim Dong Wook, Kim Sung Gyu, Chae Jung An, Choi Hyun Jin, Sim Hyun Seo, Lee Chan Yoo",Thriller,8.7
#68,18 Again,2020," Monday, Tuesday",16,jTBC,135,15+ - Teens 15 or older,"Kim Ha Neul, Yoon Sang Hyun, Lee Do Hyun, Roh Jeong Eui, Ryeoun, Wi Ha Joon",Drama,8.7
#69,The Fiery Priest,2019," Friday, Saturday",40,SBS,136,15+ - Teens 15 or older,"Kim Nam Gil, Kim Sung Kyun, Lee Ha Nee, Go Jun, Geum Sae Rok, Jeon Sung Woo",Action,8.7
#70,My Name,2021,Friday,8,Netflix,137,18+ Restricted (violence & profanity),"Han So Hee, Park Hee Soon , Ahn Bo Hyun, Lee Hak Joo, Kim  Sang Ho, Chang Ryul",Action,8.7
#71,Revenant,2023," Friday, Saturday",12,SBS,138,15+ - Teens 15 or older,"Kim Tae Ri, Oh Jung Se, Hong Kyung, Park Ji Young, Yang Hye Ji, Jin Seon Kyu",Thriller,8.7
#72,Dr. Romantic,2016," Monday, Tuesday",20,SBS,139,15+ - Teens 15 or older,"Han Seok Kyu, Yoo Yeon Seok, Seo Hyun Jin, Choi Jin Ho, Yang Se Jong, Jang Hyuk Jin",Medical,8.7
#73,A Business Proposal,2022," Monday, Tuesday",12,Netflix,140,15+ - Teens 15 or older,"Ahn Hyo Seop, Kim Se Jeong, Kim Min Gue, Seol In Ah, Lee Deok Hwa, Choi Byung Chan",Romance,8.7
#74,Misaeng,2014," Friday, Saturday",20,tvN,141,15+ - Teens 15 or older,"Yim Si Wan, Lee Sung Min, Kang So Ra, Kang Ha Neul, Byun Yo Han, Kim Dae Myung",Business,8.7
#75,Strong Woman Do Bong Soon,2017," Friday, Saturday",16,jTBC,142,15+ - Teens 15 or older,"Park Bo Young, Park Hyung Sik, Kim Ji Soo, Jun Suk Ho, Shim Hye Jin, Yoo Jae Myung",Comedy,8.7
#76,Chicago Typewriter,2017," Friday, Saturday",16,tvN,143,15+ - Teens 15 or older,"Yoo Ah In, Im Soo Jung, Go Kyung Pyo, Kwak Shi Yang, Jo  Woo Jin, Oh Na Ra",Supernatural,8.7
#77,Hot Stove League,2019," Friday, Saturday",16,SBS,144,15+ - Teens 15 or older,"Namkoong Min, Park Eun Bin, Cho Byeong Kyu, Oh Jung Se, Son Jong Hak, Kim Do Hyun",Sports,8.7
#78,Strangers from Hell,2019," Saturday, Sunday",10,OCN,145,15+ - Teens 15 or older,"Yim Si Wan, Lee Dong Wook, Lee Jung Eun, Ahn Eun Jin, Park Jong Hwan, Lee Joong Ok",Thriller,8.7
#79,Bloodhounds,2023,Friday,8,Netflix,146,18+ Restricted (violence & profanity),"Woo Do Hwan, Lee Sang Yi, Heo Joon Ho, Park Sung Woong, Kim Sae Ron, Jung Da Eun",Action,8.7
#80,Live,2018," Saturday, Sunday",18,Netflix,147,15+ - Teens 15 or older,"Jung Yu Mi, Lee Kwang Soo, Bae Sung Woo, Bae Jong Ok, Sung Dong Il, Jang Hyun Sung",Romance,8.7
#81,Jewel in the Palace,2003," Monday, Tuesday",54,MBC,148,13+ - Teens 13 or older,"Lee Young Ae, Ji Jin Hee, Hong Ri Na, Im Ho, Yang  Mi Kyung, Kyeon Mi Ri",Food,8.7
#82,The First Responders,2022," Friday, Saturday",12,SBS,149,18+ Restricted (violence & profanity),"Kim Rae Won, Son Ho Jun, Gong Seung Yeon, Kang Seo Ha, Hwang Young Hee, Kang Gi Doong",Action,8.6
#83,Tunnel,2017," Saturday, Sunday",16,OCN,150,15+ - Teens 15 or older,"Choi Jin Hyuk, Yoon Hyun Min, Lee Yoo Young, Jo Hee Bong, Kim Byung Chul, Kang Ki Young",Mystery,8.6
#84,Descendants of the Sun,2016," Wednesday, Thursday",16,KBS2,151,15+ - Teens 15 or older,"Song Joong Ki, Song Hye Kyo, Jin Goo, Kim Ji Won, Lee Seung Joon, Seo Jung Yeon",Romance,8.6
#85,My Perfect Stranger,2023," Monday, Tuesday",16,KBS2,152,15+ - Teens 15 or older,"Kim Dong Wook, Jin Ki Joo, Seo Ji Hye, Lee Won Jung, Lee Ji Hyun, Lee Kyu Hoe",Sci-Fi,8.6
